ERROR - 03-05-2017 20:32:48 --> Query error: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PAT' at line 1 - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_live.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:32:59 --> Query error: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PAT' at line 1 - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_live.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:34:18 --> Query error: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PAT' at line 1 - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_live.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:37:14 --> Query error: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '.hts_patient_tracking_devices d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.' at line 1 - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_live.hts_patient_tracking_devices d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:38:02 --> Query error: Table 'hts_live.hts_streams' doesn't exist - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:38:09 --> Query error: Table 'hts_live.hts_streams' doesn't exist - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:38:24 --> Query error: Table 'hts_live.hts_streams' doesn't exist - Invalid query: SELECT d.*, p.PATIENT_NAME, p.PATIENT_SURNAME FROM hts_live.hts_streams d, hts_live.hts_patients p WHERE d.PATIENT_ID = p.ID ORDER BY p.PATIENT_NAME;
ERROR - 03-05-2017 20:43:11 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Streams.php 9
ERROR - 03-05-2017 20:43:13 --> Severity: Runtime Notice --> Accessing static property Devices::$tablePatients as non static C:\xampp\htdocs\hts\app\models\live\Devices.php 13
ERROR - 03-05-2017 20:46:39 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Devices.php 9
ERROR - 03-05-2017 20:46:40 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Devices.php 9
ERROR - 03-05-2017 20:46:40 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Devices.php 9
ERROR - 03-05-2017 20:46:49 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Streams.php 9
ERROR - 03-05-2017 20:47:33 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Streams.php 9
ERROR - 03-05-2017 20:49:37 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Devices.php 9
ERROR - 03-05-2017 20:49:56 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Devices.php 9
ERROR - 03-05-2017 20:49:58 --> Severity: Parsing Error --> syntax error, unexpected '$tablePatients' (T_VARIABLE), expecting identifier (T_STRING) C:\xampp\htdocs\hts\app\models\live\Streams.php 9
ERROR - 03-05-2017 20:51:27 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Streams.php 9
ERROR - 03-05-2017 20:51:27 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Streams.php 9
ERROR - 03-05-2017 20:51:29 --> Severity: Parsing Error --> syntax error, unexpected 'const' (T_CONST), expecting variable (T_VARIABLE) C:\xampp\htdocs\hts\app\models\live\Devices.php 9
